Elapsed, Counts, T (Raw), T1 (C), P (Raw), P1 (mbar), P2 (mbar), Altitude (m), Dead Time (s), Dead Time Counts
792305.504000, -1, 8424522, 29.624726, 6760918, 1009.786643, 1009.786643, 97.012924, 0.000000, -1
792306.504000, -1, 8424604, 29.627446, 6760768, 1009.733632, 1009.733632, 97.467407, 0.000000, -1
792307.504000, -1, 8424642, 29.628707, 6760756, 1009.731755, 1009.731755, 97.483696, 0.000000, -1
792308.504000, -1, 8424664, 29.629437, 6760868, 1009.777593, 1009.777593, 97.091202, 0.000000, -1
792309.504000, -1, 8424698, 29.630565, 6760812, 1009.758057, 1009.758057, 97.258713, 0.000000, -1
792310.504000, -1, 8424632, 29.628375, 6760728, 1009.719957, 1009.719957, 97.584694, 0.000000, -1
792311.504000, -1, 8424642, 29.628707, 6760818, 1009.756214, 1009.756214, 97.274193, 0.000000, -1
792312.504000, -1, 8424700, 29.630631, 6760800, 1009.753473, 1009.753473, 97.297989, 0.000000, -1
792313.504000, -1, 8424678, 29.629901, 6760862, 1009.776279, 1009.776279, 97.102539, 0.000000, -1
792314.504000, -1, 8424628, 29.628242, 6760674, 1009.698353, 1009.698353, 97.769714, 0.000000, -1
792315.504000, -1, 8424768, 29.632887, 6760762, 1009.743594, 1009.743594, 97.382973, 0.000000, -1
792316.504000, -1, 8424782, 29.633351, 6760802, 1009.760427, 1009.760427, 97.238876, 0.000000, -1
792317.504000, -1, 8424846, 29.635474, 6760932, 1009.816525, 1009.816525, 96.758751, 0.000000, -1
792318.504000, -1, 8424852, 29.635673, 6760736, 1009.739652, 1009.739652, 97.417206, 0.000000, -1
792319.504000, -1, 8424888, 29.636868, 6760804, 1009.769185, 1009.769185, 97.164444, 0.000000, -1
792320.504000, -1, 8424912, 29.637664, 6760702, 1009.730749, 1009.730749, 97.493790, 0.000000, -1
792321.504000, -1, 8424990, 29.640252, 6760630, 1009.708207, 1009.708207, 97.687294, 0.000000, -1
792322.504000, -1, 8425100, 29.643901, 6760728, 1009.755139, 1009.755139, 97.285904, 0.000000, -1
792323.504000, -1, 8425228, 29.648147, 6760714, 1009.759238, 1009.759238, 97.251488, 0.000000, -1
792324.504000, -1, 8425174, 29.646356, 6760714, 1009.755179, 1009.755179, 97.285965, 0.000000, -1
792325.504000, -1, 8425284, 29.650005, 6760664, 1009.743722, 1009.743722, 97.384705, 0.000000, -1
792326.504000, -1, 8425348, 29.652128, 6760586, 1009.717760, 1009.717760, 97.607430, 0.000000, -1
792327.504000, -1, 8425422, 29.654583, 6760614, 1009.734370, 1009.734370, 97.465561, 0.000000, -1
792328.504000, -1, 8425472, 29.656242, 6760636, 1009.746808, 1009.746808, 97.359299, 0.000000, -1
